,year,month,intent,police,sex,age,race,hispanic,place,education
1,2012,1,Suicide,0,M,34,Asian/Pacific Islander,100,Home,BA+
2,2012,1,Suicide,0,F,21,White,100,Street,Some college
3,2012,1,Suicide,0,M,60,White,100,Other specified,BA+
4,2012,2,Suicide,0,M,64,White,100,Home,BA+
5,2012,2,Suicide,0,M,31,White,100,Other specified,HS/GED
6,2012,2,Suicide,0,M,17,Native American/Native Alaskan,100,Home,Less than HS
7,2012,2,Undetermined,0,M,48,White,100,Home,HS/GED
8,2012,3,Suicide,0,M,41,Native American/Native Alaskan,100,Home,HS/GED
9,2012,2,Accidental,0,M,50,White,100,Other specified,Some college
10,2012,2,Suicide,0,M,NA,Black,998,Home,NA
11,2012,2,Suicide,0,M,30,White,100,Home,Some college
12,2012,1,Suicide,0,M,21,Native American/Native Alaskan,100,Home,HS/GED
13,2012,3,Suicide,0,M,43,White,100,Home,Less than HS
14,2012,3,Suicide,0,M,34,Native American/Native Alaskan,100,Home,HS/GED
15,2012,3,Homicide,0,M,27,White,100,Home,HS/GED
16,2012,3,Suicide,0,M,27,Native American/Native Alaskan,100,Home,HS/GED
17,2012,3,Suicide,0,M,55,White,100,Home,BA+
18,2012,3,Suicide,0,M,53,Native American/Native Alaskan,100,Home,HS/GED
19,2012,3,Homicide,0,M,31,Asian/Pacific Islander,100,Home,Some college
20,2012,4,Suicide,0,M,51,White,100,Home,HS/GED
21,2012,4,Suicide,0,M,65,Native American/Native Alaskan,100,Home,HS/GED
22,2012,4,Suicide,0,F,52,White,100,Home,HS/GED
23,2012,4,Homicide,0,F,47,Black,100,Home,HS/GED
24,2012,4,Suicide,0,M,19,White,100,Home,Some college
25,2012,4,Homicide,0,M,51,White,100,Other specified,HS/GED
26,2012,4,Homicide,0,M,41,White,100,Other specified,HS/GED
27,2012,4,Suicide,0,M,22,Native American/Native Alaskan,100,Other specified,HS/GED
28,2012,4,Suicide,0,M,21,White,100,Other specified,HS/GED
29,2012,4,Suicide,0,M,56,White,100,Home,HS/GED
30,2012,4,Homicide,0,M,43,White,100,Other specified,HS/GED
31,2012,4,Suicide,0,M,38,Native American/Native Alaskan,100,Home,HS/GED
32,2012,4,Suicide,0,M,55,White,100,Home,BA+
33,2012,4,Suicide,0,M,22,Native American/Native Alaskan,100,Home,NA
34,2012,5,Suicide,0,M,27,White,100,Home,HS/GED
35,2012,4,Homicide,0,F,25,White,100,Home,HS/GED
36,2012,4,Undetermined,0,M,26,White,100,Home,HS/GED
37,2012,5,Suicide,0,M,23,Native American/Native Alaskan,100,Home,Less than HS
38,2012,5,Suicide,0,M,48,Native American/Native Alaskan,100,Home,NA
39,2012,5,Suicide,0,M,43,White,100,Home,Some college
40,2012,5,Suicide,0,M,53,White,100,Home,Some college
41,2012,5,Suicide,0,M,31,Native American/Native Alaskan,100,Home,HS/GED
42,2012,6,Homicide,0,M,26,Asian/Pacific Islander,100,Home,NA
43,2012,6,Suicide,0,M,87,White,100,Home,Less than HS
44,2012,6,Suicide,0,M,38,Native American/Native Alaskan,100,Home,HS/GED
45,2012,6,Suicide,0,M,17,Native American/Native Alaskan,100,Home,Less than HS
46,2012,6,Suicide,0,M,28,White,100,Home,Some college
47,2012,6,Suicide,0,M,39,White,100,Home,BA+
48,2012,7,Homicide,0,M,59,White,100,Home,HS/GED
49,2012,6,Homicide,0,M,28,Native American/Native Alaskan,100,Home,Less than HS
50,2012,6,Homicide,0,M,38,Asian/Pacific Islander,100,Other specified,Some college
51,2012,7,Suicide,0,M,59,White,100,Home,HS/GED
52,2012,7,Suicide,0,M,26,White,100,Home,Some college
53,2012,6,Suicide,0,M,50,Native American/Native Alaskan,100,Street,Less than HS
54,2012,6,Undetermined,0,F,26,Native American/Native Alaskan,100,Home,Less than HS
55,2012,7,Suicide,0,M,21,White,100,Home,HS/GED
56,2012,7,Suicide,0,M,61,White,100,Other specified,BA+
57,2012,7,Accidental,0,M,12,Black,100,Home,Less than HS
58,2012,7,Homicide,0,M,40,White,100,Home,Some college
59,2012,7,Suicide,0,M,57,White,100,Home,HS/GED
60,2012,7,Homicide,0,M,19,Black,100,Home,HS/GED
61,2012,7,Suicide,0,M,22,White,100,Home,HS/GED
62,2012,8,Homicide,1,M,28,White,100,NA,HS/GED
63,2012,8,Suicide,0,M,20,White,100,Home,Some college
64,2012,7,Suicide,0,F,50,White,100,Home,HS/GED
65,2012,7,Suicide,0,M,25,White,100,Home,HS/GED
66,2012,8,Suicide,0,M,34,White,100,Other specified,HS/GED
67,2012,8,Suicide,0,F,23,Native American/Native Alaskan,100,Home,Some college
68,2012,8,Suicide,0,M,34,White,100,Other specified,BA+
69,2012,8,Suicide,0,M,60,White,100,Other specified,BA+
70,2012,8,Suicide,0,M,26,Native American/Native Alaskan,100,Other specified,Less than HS
71,2012,8,Suicide,0,F,62,White,100,Home,BA+
72,2012,8,Accidental,0,M,71,White,100,Home,Some college
73,2012,8,Suicide,0,F,44,White,100,Home,Some college
74,2012,9,Accidental,0,M,26,White,100,Home,HS/GED
75,2012,9,Suicide,0,M,39,White,100,Other specified,HS/GED
76,2012,9,Undetermined,0,M,26,Native American/Native Alaskan,100,Home,Some college
77,2012,9,Suicide,0,M,57,White,100,Home,HS/GED
78,2012,9,Suicide,0,M,29,Asian/Pacific Islander,100,Home,HS/GED
79,2012,9,Suicide,0,M,24,White,100,Home,HS/GED
80,2012,9,Homicide,0,F,30,White,100,Other specified,HS/GED
81,2012,9,Suicide,0,F,50,Native American/Native Alaskan,100,Home,BA+
82,2012,9,Suicide,0,M,61,White,100,Home,HS/GED
83,2012,10,Suicide,0,F,44,White,100,Other specified,NA
84,2012,9,Homicide,1,M,34,White,100,NA,HS/GED
85,2012,9,Suicide,0,M,28,White,100,Other specified,HS/GED
86,2012,9,Homicide,0,M,9,Native American/Native Alaskan,100,Other specified,Less than HS
87,2012,9,Suicide,0,M,77,White,100,Home,BA+
88,2012,9,Suicide,0,M,17,White,100,Other specified,HS/GED
89,2012,10,Suicide,0,M,25,Black,100,Other specified,HS/GED
90,2012,10,Suicide,0,M,22,Native American/Native Alaskan,100,Other specified,Less than HS
91,2012,9,Undetermined,0,F,22,White,100,Other specified,BA+
92,2012,10,Suicide,0,M,18,White,100,Home,Less than HS
93,2012,10,Homicide,1,M,24,Native American/Native Alaskan,100,NA,Less than HS
94,2012,9,Accidental,0,F,19,Hispanic,281,Other unspecified,HS/GED
95,2012,10,Suicide,0,M,61,White,100,Other specified,HS/GED
96,2012,10,Suicide,0,M,71,White,100,Home,HS/GED
97,2012,10,Suicide,0,M,36,White,100,Home,Less than HS
98,2012,10,Homicide,0,M,27,White,100,Other specified,HS/GED
99,2012,10,Suicide,0,M,49,White,100,Other specified,Some college
100,2012,9,Undetermined,0,M,19,White,100,Home,Less than HS
101,2012,11,Suicide,0,M,13,Native American/Native Alaskan,100,Home,Less than HS
102,2012,10,Suicide,0,M,20,White,100,Home,Some college
103,2012,11,Suicide,0,M,30,Hispanic,211,Home,Some college
104,2012,10,Homicide,0,M,61,White,100,Home,Some college
105,2012,11,Suicide,0,F,51,White,100,Home,Less than HS
106,2012,11,Suicide,0,M,33,Black,100,Other specified,Some college
107,2012,11,Suicide,0,M,20,White,100,Other specified,HS/GED
108,2012,11,Suicide,0,M,50,White,100,Home,HS/GED
109,2012,11,Suicide,0,F,48,Native American/Native Alaskan,100,Home,Some college
110,2012,11,Suicide,0,M,21,Native American/Native Alaskan,100,Home,HS/GED
111,2012,11,Suicide,0,M,43,White,100,Other specified,HS/GED
112,2012,12,Suicide,0,M,21,White,100,Other specified,HS/GED
113,2012,12,Suicide,0,M,51,White,100,Home,HS/GED
114,2012,11,Suicide,0,M,90,White,100,Home,Less than HS
115,2012,12,Suicide,0,F,33,Native American/Native Alaskan,100,Home,Less than HS
116,2012,12,Suicide,0,M,43,Black,100,Home,Some college
117,2012,11,Suicide,0,M,48,White,998,Home,NA
118,2012,11,Suicide,0,M,24,Native American/Native Alaskan,100,Home,Less than HS
119,2012,12,Suicide,0,M,63,Asian/Pacific Islander,100,Other specified,Some college
120,2012,12,Suicide,0,M,46,White,100,Other unspecified,HS/GED
121,2012,12,Suicide,0,M,32,White,100,Home,Less than HS
122,2012,12,Suicide,0,M,84,White,100,Other unspecified,BA+
123,2012,10,Suicide,0,M,68,White,100,Other specified,HS/GED
124,2012,12,Suicide,0,M,13,Black,100,Home,Less than HS
125,2012,12,Suicide,0,F,89,White,100,Home,BA+
126,2012,12,Homicide,0,M,25,White,100,Home,Some college
127,2012,12,Undetermined,0,M,28,White,100,Home,Some college
128,2012,12,Suicide,0,M,48,White,100,Other specified,HS/GED
129,2012,12,Suicide,0,M,39,Native American/Native Alaskan,100,Home,HS/GED
130,2012,12,Suicide,0,M,43,White,100,Home,Some college
131,2012,12,Accidental,0,F,31,White,100,Other specified,Some college
132,2012,12,Suicide,0,M,46,White,100,Home,HS/GED
133,2012,12,Suicide,0,M,33,White,100,Home,HS/GED
134,2012,12,Undetermined,0,F,31,White,100,Home,Some college
135,2012,1,Suicide,0,F,59,White,100,Home,HS/GED
136,2012,1,Suicide,0,F,30,White,100,Other unspecified,BA+
137,2012,1,Homicide,0,M,58,Black,100,Home,Less than HS
138,2012,1,Suicide,0,M,78,White,100,Home,BA+
139,2012,1,Suicide,0,M,60,White,100,Other unspecified,Less than HS
140,2012,1,Accidental,0,M,61,White,100,Home,HS/GED
141,2012,1,Homicide,0,M,55,White,100,Other unspecified,HS/GED
142,2012,1,Suicide,0,M,66,White,100,Home,HS/GED
143,2012,1,Suicide,0,M,52,White,100,Other unspecified,HS/GED
144,2012,1,Suicide,0,M,63,White,100,Home,Some college
145,2012,1,Suicide,0,M,40,White,100,Home,BA+
146,2012,1,Homicide,0,M,23,Black,100,Other specified,Less than HS
147,2012,1,Suicide,0,M,57,White,100,Other unspecified,HS/GED
148,2012,1,Undetermined,0,M,81,White,100,Home,HS/GED
149,2012,1,Suicide,0,M,63,White,100,Other unspecified,BA+
150,2012,1,Suicide,0,M,54,White,100,Other unspecified,Less than HS
151,2012,1,Suicide,0,M,46,White,100,Other unspecified,HS/GED
152,2012,1,Homicide,0,M,52,White,100,Other specified,HS/GED
153,2012,1,Suicide,0,M,59,White,100,Home,BA+
154,2012,1,Suicide,0,M,31,Black,100,Other unspecified,Some college
155,2012,1,Suicide,0,M,64,Black,100,Home,HS/GED
156,2012,1,Suicide,0,F,36,White,100,Other unspecified,HS/GED
157,2012,1,Homicide,0,M,40,Black,100,Home,Some college
158,2012,1,Homicide,0,M,45,Hispanic,211,Home,Less than HS
159,2012,1,Suicide,0,M,47,White,100,Other specified,HS/GED
160,2012,1,Homicide,0,F,53,White,100,Home,Less than HS
161,2012,1,Suicide,0,M,55,White,100,Other specified,BA+
162,2012,1,Homicide,0,M,26,Black,100,Street,Less than HS
163,2012,1,Homicide,0,M,28,White,100,Home,Less than HS
164,2012,1,Homicide,0,M,25,White,100,Home,Less than HS
165,2012,1,Homicide,0,M,68,Black,100,Home,Some college
166,2012,1,Suicide,0,M,49,Black,100,Other unspecified,BA+
167,2012,1,Homicide,0,F,48,Black,100,Other unspecified,BA+
168,2012,1,Suicide,0,M,68,Black,100,Other unspecified,Some college
169,2012,1,Undetermined,0,M,45,White,100,Home,HS/GED
170,2012,1,Homicide,0,M,47,White,100,Home,BA+
171,2012,1,Suicide,0,M,37,Black,100,Home,HS/GED
172,2012,2,Suicide,0,M,37,White,100,Home,HS/GED
173,2012,1,Homicide,0,M,62,White,100,Trade/service area,Less than HS
174,2012,1,Suicide,0,M,60,White,100,Other unspecified,HS/GED
175,2012,1,Suicide,0,F,53,White,100,Home,Some college
176,2012,1,Homicide,0,M,36,Black,100,Street,Less than HS
177,2012,1,Homicide,0,F,41,White,100,Other unspecified,BA+
178,2012,2,Suicide,0,M,47,White,100,Other unspecified,HS/GED
179,2012,1,Suicide,0,M,25,White,100,Home,Some college
180,2012,1,Homicide,0,M,30,Black,100,Other unspecified,Less than HS
181,2012,2,Suicide,0,M,43,White,100,Other unspecified,Some college
182,2012,1,Suicide,0,M,41,Black,100,Home,HS/GED
183,2012,1,Homicide,0,M,39,Black,100,Other unspecified,Less than HS
184,2012,2,Suicide,0,M,39,White,100,Other unspecified,Less than HS
185,2012,1,Homicide,0,M,35,Black,100,Home,HS/GED
186,2012,2,Homicide,0,M,35,Black,100,Home,HS/GED
187,2012,2,Suicide,0,M,30,White,100,Other unspecified,Some college
188,2012,2,Homicide,0,M,22,Black,100,Other specified,Less than HS
189,2012,1,Homicide,0,M,23,Black,100,Home,HS/GED
190,2012,1,Homicide,0,M,19,Black,100,Home,Less than HS
191,2012,1,Homicide,0,M,33,Black,100,Home,HS/GED
192,2012,1,Homicide,0,M,23,Hispanic,261,Home,Less than HS
193,2012,2,Homicide,0,M,49,White,100,Other unspecified,Some college
194,2012,2,Suicide,0,M,50,White,100,Home,HS/GED
195,2012,2,Homicide,0,M,44,Black,100,Home,HS/GED
196,2012,2,Suicide,0,M,46,White,100,Other unspecified,Some college
197,2012,1,Homicide,0,M,46,White,100,Farm,HS/GED
198,2012,1,Homicide,0,M,21,Black,100,Home,HS/GED
199,2012,1,Homicide,0,M,42,Black,100,Home,HS/GED
200,2012,2,Suicide,0,M,42,White,100,Other unspecified,HS/GED
201,2012,1,Homicide,0,M,34,Black,100,Home,HS/GED
202,2012,1,Homicide,0,M,50,White,100,Other specified,Less than HS
203,2012,1,Suicide,0,M,25,White,100,Home,HS/GED
204,2012,2,Suicide,0,M,60,White,100,Other unspecified,Some college
205,2012,2,Suicide,0,M,47,Black,100,Street,HS/GED
206,2012,2,Homicide,0,M,36,Black,100,Trade/service area,Less than HS
207,2012,2,Homicide,0,M,24,Black,100,Home,Some college
208,2012,2,Suicide,0,M,22,White,100,Home,Less than HS
209,2012,2,Homicide,0,F,20,White,100,Home,HS/GED
210,2012,2,Suicide,0,M,58,White,100,Other unspecified,Some college
211,2012,1,Suicide,0,M,67,Black,100,Home,BA+
212,2012,2,Homicide,0,F,18,Black,100,Street,Less than HS
213,2012,2,Homicide,0,F,32,Black,100,Street,HS/GED
214,2012,2,Suicide,0,M,69,White,100,Home,HS/GED
215,2012,2,Suicide,0,M,84,White,100,Other unspecified,Some college
216,2012,2,Homicide,0,F,31,Black,100,Home,HS/GED
217,2012,2,Homicide,0,M,42,Black,100,Industrial/construction,Less than HS
218,2012,2,Suicide,0,M,20,White,100,Home,Some college
219,2012,2,Suicide,0,M,48,White,100,Home,BA+
220,2012,2,Suicide,0,M,54,White,100,Home,HS/GED
221,2012,2,Suicide,0,F,37,White,100,Other unspecified,Some college
222,2012,1,Suicide,0,M,56,White,100,Home,HS/GED
223,2012,2,Homicide,0,M,34,Black,100,Trade/service area,Some college
224,2012,2,Suicide,0,F,20,White,100,Other specified,Some college
225,2012,2,Suicide,0,M,72,Black,100,Home,Less than HS
226,2012,1,Suicide,0,M,55,White,100,Home,HS/GED
227,2012,2,Suicide,0,M,35,White,100,Home,Some college
228,2012,1,Suicide,0,F,17,White,100,Other unspecified,Less than HS
229,2012,3,Suicide,0,M,37,White,100,Home,HS/GED
230,2012,1,Homicide,0,M,42,Black,100,Other unspecified,HS/GED
231,2012,2,Homicide,0,M,47,Black,100,Home,HS/GED
232,2012,2,Suicide,0,M,82,White,100,Home,Some college
233,2012,2,Accidental,0,M,25,White,100,Other unspecified,BA+
234,2012,3,Homicide,0,F,28,White,100,Farm,HS/GED
235,2012,2,Suicide,0,M,38,White,100,Home,Some college
236,2012,3,Suicide,0,M,49,Black,100,Other unspecified,HS/GED
237,2012,3,Suicide,0,M,36,Black,100,Home,BA+
238,2012,2,Suicide,0,M,29,White,100,Other unspecified,Some college
239,2012,2,Suicide,0,M,75,White,100,Other unspecified,HS/GED
240,2012,3,Suicide,0,M,57,White,100,Home,Less than HS
241,2012,2,Suicide,0,M,49,Black,100,Other unspecified,HS/GED
242,2012,3,Suicide,0,M,73,White,100,Other unspecified,HS/GED
243,2012,2,Suicide,0,M,53,White,100,Home,Less than HS
244,2012,3,Suicide,0,F,24,White,100,Other unspecified,BA+
245,2012,3,Homicide,0,M,45,Black,100,Home,HS/GED
246,2012,3,Suicide,0,M,52,White,100,Home,Some college
247,2012,3,Suicide,0,M,81,White,100,Home,HS/GED
248,2012,3,Homicide,0,M,31,Black,100,School/instiution,Less than HS
249,2012,2,Suicide,0,M,32,Black,100,Other unspecified,Less than HS
250,2012,2,Homicide,0,M,46,Black,100,Home,BA+
251,2012,2,Suicide,0,F,65,White,100,Home,HS/GED
252,2012,2,Homicide,0,M,18,Black,100,School/instiution,HS/GED
253,2012,3,Homicide,0,M,15,Black,100,Home,Less than HS
254,2012,3,Suicide,0,M,49,White,100,Home,BA+
255,2012,3,Suicide,0,M,51,White,100,Other unspecified,Some college
256,2012,1,Homicide,0,M,29,Black,100,Other unspecified,HS/GED
257,2012,3,Suicide,0,M,62,White,100,Trade/service area,BA+
258,2012,3,Suicide,0,M,33,Hispanic,211,Home,HS/GED
259,2012,3,Suicide,0,M,78,White,100,Other unspecified,BA+
260,2012,2,Suicide,0,M,58,White,100,Home,Some college
261,2012,3,Suicide,0,M,34,White,100,Other specified,Some college
262,2012,1,Suicide,0,M,82,White,100,Other unspecified,HS/GED
263,2012,3,Undetermined,0,M,23,Black,100,Other unspecified,HS/GED
264,2012,3,Suicide,0,M,83,White,100,Other unspecified,Some college
265,2012,2,Suicide,0,M,50,Black,100,Home,Less than HS
266,2012,3,Suicide,0,M,13,White,100,Home,Less than HS
267,2012,3,Homicide,0,M,17,Black,100,Home,Less than HS
268,2012,3,Suicide,0,M,30,White,100,Home,HS/GED
269,2012,3,Suicide,0,M,63,White,100,Other specified,HS/GED
270,2012,3,Suicide,0,M,64,White,100,Street,Some college
271,2012,3,Suicide,0,M,40,White,100,Trade/service area,BA+
272,2012,3,Suicide,0,M,42,White,100,Other unspecified,Some college
273,2012,2,Homicide,0,M,32,Black,100,Street,Less than HS
274,2012,3,Homicide,0,M,21,White,100,Home,HS/GED
275,2012,3,Suicide,0,M,37,White,100,Home,HS/GED
276,2012,3,Suicide,0,M,49,White,100,Street,Less than HS
277,2012,3,Suicide,0,M,37,White,100,Other unspecified,HS/GED
278,2012,2,Suicide,0,M,83,White,100,Home,Some college
279,2012,3,Suicide,0,F,54,White,100,Home,HS/GED
280,2012,4,Suicide,0,M,72,White,100,Home,BA+
281,2012,3,Suicide,0,M,74,White,100,Home,Some college
282,2012,3,Homicide,0,M,54,Black,100,Home,HS/GED
283,2012,3,Suicide,0,M,34,Black,100,Home,HS/GED
284,2012,4,Suicide,0,M,74,White,100,Home,HS/GED
285,2012,2,Homicide,0,M,24,Black,100,Other unspecified,HS/GED
286,2012,3,Suicide,0,M,46,White,100,Home,BA+
287,2012,3,Suicide,0,M,48,Black,100,Home,Less than HS
288,2012,3,Suicide,0,M,55,White,100,Home,Less than HS
289,2012,3,Suicide,0,M,48,White,100,Other unspecified,Less than HS
290,2012,3,Accidental,0,M,17,Black,100,Home,Less than HS
291,2012,3,Suicide,0,M,26,White,100,Other unspecified,HS/GED
292,2012,3,Homicide,0,M,19,Black,100,Home,Less than HS
293,2012,3,Suicide,0,M,40,White,100,Other unspecified,HS/GED
294,2012,3,Suicide,0,M,42,Black,100,Trade/service area,HS/GED
295,2012,3,Suicide,0,M,48,Black,100,Other unspecified,Some college
296,2012,2,Homicide,0,M,21,White,100,Street,Less than HS
297,2012,3,Homicide,0,M,25,Black,100,Street,HS/GED
298,2012,3,Homicide,0,M,30,Black,100,Street,Some college
299,2012,3,Suicide,0,M,23,White,100,Other unspecified,HS/GED
300,2012,4,Suicide,0,M,23,White,100,Home,HS/GED
301,2012,4,Suicide,0,M,49,White,100,Home,BA+
302,2012,4,Suicide,0,M,30,White,100,Other specified,BA+
303,2012,4,Suicide,0,M,64,White,100,Home,HS/GED
304,2012,3,Suicide,0,M,47,White,100,Other unspecified,BA+
305,2012,3,Homicide,0,F,68,White,100,Other unspecified,Less than HS
306,2012,3,Suicide,0,M,68,White,100,Other unspecified,BA+
307,2012,3,Suicide,0,M,27,White,100,Trade/service area,HS/GED
308,2012,3,Suicide,0,M,29,Black,100,Home,Some college
309,2012,3,Homicide,0,F,31,Black,100,Home,Less than HS
310,2012,4,Suicide,0,F,40,White,100,Home,Some college
311,2012,4,Suicide,0,M,41,White,100,Home,HS/GED
312,2012,3,Homicide,0,M,33,Black,100,Home,Less than HS
313,2012,4,Homicide,0,M,48,White,100,Trade/service area,Less than HS
314,2012,4,Suicide,0,M,19,White,100,Other unspecified,Less than HS
315,2012,3,Suicide,0,M,52,White,100,Home,HS/GED
316,2012,4,Suicide,0,M,75,White,100,Home,Less than HS
317,2012,3,Suicide,0,M,21,White,100,Other unspecified,Some college
318,2012,4,Accidental,0,M,24,White,100,Other unspecified,HS/GED
319,2012,4,Suicide,0,M,37,White,100,Home,HS/GED
320,2012,4,Suicide,0,F,37,White,100,Home,Some college
321,2012,4,Homicide,0,M,43,White,100,Home,HS/GED
322,2012,4,Suicide,0,M,53,White,100,Home,HS/GED
323,2012,3,Suicide,0,M,43,Black,100,Home,BA+
324,2012,3,Suicide,0,F,43,White,100,Other specified,Some college
325,2012,4,Suicide,0,M,28,White,100,Other unspecified,HS/GED
326,2012,3,Homicide,0,M,19,Black,100,Other unspecified,HS/GED
327,2012,3,Suicide,0,M,54,White,100,Home,BA+
328,2012,4,Suicide,0,M,86,White,100,Home,Less than HS
329,2012,4,Suicide,0,M,37,White,100,Home,Less than HS
330,2012,4,Homicide,0,M,17,Black,100,Home,Less than HS
331,2012,4,Suicide,0,F,46,White,100,Home,Some college
332,2012,4,Suicide,0,M,54,White,100,Home,Less than HS
333,2012,4,Suicide,0,M,52,White,100,Home,Some college
334,2012,4,Homicide,0,F,44,White,100,Home,HS/GED
335,2012,4,Suicide,0,F,40,White,100,Other specified,BA+
336,2012,4,Homicide,0,F,24,Black,100,Other unspecified,HS/GED
337,2012,4,Suicide,0,M,22,White,100,Other unspecified,Less than HS
338,2012,4,Suicide,0,F,69,White,100,Home,HS/GED
339,2012,4,Suicide,0,M,47,White,100,Other unspecified,BA+
340,2012,4,Suicide,0,F,32,White,100,Home,Less than HS
341,2012,4,Suicide,0,M,21,White,100,Home,HS/GED
342,2012,4,Homicide,0,M,26,Black,100,Trade/service area,Less than HS
343,2012,4,Suicide,0,M,63,White,100,Home,HS/GED
344,2012,4,Homicide,0,M,28,Black,100,Other specified,HS/GED
345,2012,4,Suicide,0,M,72,White,100,Home,Less than HS
346,2012,3,Suicide,0,M,57,Black,100,Home,BA+
347,2012,4,Suicide,0,M,52,White,100,Home,Some college
348,2012,4,Suicide,0,M,69,White,100,Home,BA+
349,2012,4,Suicide,0,M,50,White,100,Home,Some college
350,2012,4,Suicide,0,M,40,White,100,Home,HS/GED
351,2012,4,Homicide,0,M,36,Black,100,Home,HS/GED
352,2012,4,Suicide,0,M,40,White,100,Other unspecified,HS/GED
353,2012,3,Suicide,0,M,28,Black,100,Other unspecified,HS/GED
354,2012,3,Homicide,0,M,21,Black,100,Other specified,Less than HS
355,2012,4,Accidental,0,M,53,Black,100,Other unspecified,HS/GED
356,2012,4,Suicide,0,M,16,White,100,Home,Less than HS
357,2012,4,Suicide,0,F,29,Black,100,Street,Some college
358,2012,4,Suicide,0,F,48,White,100,Street,BA+
359,2012,4,Suicide,0,M,32,Black,100,Home,HS/GED
360,2012,4,Undetermined,0,M,20,Black,100,Home,Less than HS
361,2012,4,Homicide,0,M,20,Black,100,Street,HS/GED
362,2012,4,Suicide,0,M,39,White,100,Street,Less than HS
363,2012,4,Suicide,0,M,19,White,100,Home,HS/GED
364,2012,3,Homicide,0,M,44,Black,100,Home,Some college
365,2012,5,Accidental,0,M,63,White,100,Home,Less than HS
366,2012,5,Homicide,0,M,17,Black,100,Home,HS/GED
367,2012,5,Suicide,0,M,43,White,100,Home,Some college
368,2012,5,Homicide,0,M,47,Black,100,Home,HS/GED
369,2012,4,Homicide,0,M,29,Black,100,Home,HS/GED
370,2012,5,Suicide,0,M,75,Black,100,Home,HS/GED
371,2012,3,Homicide,0,M,22,Black,100,Street,Less than HS
372,2012,3,Homicide,0,M,28,Black,100,Other unspecified,HS/GED
373,2012,4,Suicide,0,M,18,White,100,Home,Less than HS
374,2012,5,Suicide,0,M,84,White,100,Home,HS/GED
375,2012,5,Suicide,0,M,29,White,100,Home,HS/GED
376,2012,5,Suicide,0,M,20,Black,100,Other unspecified,Some college
377,2012,5,Suicide,0,M,18,White,100,Home,Less than HS
378,2012,5,Homicide,0,F,30,White,100,Other unspecified,HS/GED
379,2012,5,Suicide,0,M,50,White,100,Home,HS/GED
380,2012,5,Suicide,0,M,36,White,100,Street,Some college
381,2012,5,Suicide,0,M,88,White,100,Home,HS/GED
382,2012,5,Suicide,0,M,29,White,100,Home,Less than HS
383,2012,5,Suicide,0,M,87,White,100,Home,BA+
384,2012,4,Homicide,0,M,13,Black,100,Other specified,Less than HS
385,2012,4,Homicide,0,F,17,White,100,Home,HS/GED
386,2012,5,Suicide,0,M,40,White,100,Home,Some college
387,2012,5,Homicide,0,F,20,Asian/Pacific Islander,100,Home,Some college
388,2012,5,Suicide,0,M,58,White,100,Street,BA+
389,2012,5,Suicide,0,M,25,White,100,Home,Some college
390,2012,5,Suicide,0,M,34,White,100,Other specified,BA+
391,2012,5,Suicide,0,M,26,White,100,Home,HS/GED
